text,language
"ไว้เจอกันใหม่",Thai
"ยินดีที่ได้รู้จัก",Thai
"ยินดีต้อนรับ",Thai
"สวัสดีตอนเย็น",Thai
"ราตรีสวัสดิ์",Thai
"เป็นอย่างไรบ้าง?",Thai
"ขอบคุณ",Thai
"ไม่เป็นไร",Thai
"ขอโทษ",Thai
"ช่วยฉันหน่อยได้ไหม?",Thai
"ไม่มีปัญหา",Thai
"ดีมาก",Thai
"ฉันเข้าใจ",Thai
"ฉันไม่รู้",Thai
"ลาก่อน",Thai
"ขอให้เป็นวันที่ดี",Thai
"ดูแลตัวเองด้วย",Thai
"ขอให้โชคดี",Thai
"ยินดีด้วย",Thai
"เจอกันใหม่",Thai
"ทำได้ดีมาก",Thai
"Γειά σου",Greek
"Τι κάνεις;",Greek
"Καλημέρα",Greek
"Γειά σε όλους",Greek
"Είμαι καλά",Greek
"Τα λέμε αργότερα",Greek
"Χαίρομαι που σε βλέπω",Greek
"Καλώς ήρθες",Greek
"Καλησπέρα",Greek
"Καληνύχτα",Greek
"Τι νέα;",Greek
"Ευχαριστώ",Greek
"Παρακαλώ",Greek
"Συγγνώμη",Greek
"Μπορείς να με βοηθήσεις;",Greek
"Δεν υπάρχει πρόβλημα",Greek
"Αυτό είναι υπέροχο",Greek
"Καταλαβαίνω",Greek
"Δεν ξέρω",Greek
"Τα λέμε",Greek
"Καλή μέρα",Greek
"Πρόσεχε",Greek
"Καλή τύχη",Greek
"Χαίρομαι που σε γνώρισα",Greek
"Καλή συνέχεια",Greek
"Καλή δουλειά",Greek
"שָׁלוֹם",Hebrew
"מה שלומך?",Hebrew
"בוקר טוב",Hebrew
"שלום לכולם",Hebrew
"אני בסדר",Hebrew
"להתראות מאוחר יותר",Hebrew
"נעים מאוד",Hebrew
"ברוך הבא",Hebrew
"ערב טוב",Hebrew
"לילה טוב",Hebrew
"מה נשמע?",Hebrew
"תודה",Hebrew
"על לא דבר",Hebrew
"סליחה",Hebrew
"האם אתה יכול לעזור לי?",Hebrew
"אין בעיה",Hebrew
"זה נהדר",Hebrew
"אני מבין",Hebrew
"אני לא יודע",Hebrew
"להתראות",Hebrew
"יום נעים",Hebrew
"שמור על עצמך",Hebrew
"בהצלחה",Hebrew
"נעים להכיר אותך",Hebrew
"עבודה טובה",Hebrew
"До побачення",Ukrainian
"Як справи?",Ukrainian
"Доброго ранку",Ukrainian
"Привіт всім",Ukrainian
"Я добре",Ukrainian
"До зустрічі",Ukrainian
"Радий вас бачити",Ukrainian
"Ласкаво просимо",Ukrainian
"Доброго вечора",Ukrainian
"На добраніч",Ukrainian
"Як ти?",Ukrainian
"Дякую",Ukrainian
"Немає за що",Ukrainian
"Вибач",Ukrainian
"Чи можете мені допомогти?",Ukrainian
"Без проблем",Ukrainian
"Це чудово",Ukrainian
"Я розумію",Ukrainian
"Я не знаю",Ukrainian
"Бувай",Ukrainian
"Гарного дня",Ukrainian
"Доглядай за собою",Ukrainian
"Щасти",Ukrainian
"Радий зустрічі",Ukrainian
"Гарна робота",Ukrainian
"Xin chào lại",Indonesian
"Apa kabar?",Indonesian
"Selamat pagi",Indonesian
"Halo semuanya",Indonesian
"Aku baik-baik saja",Indonesian
"Sampai jumpa",Indonesian
"Senang bertemu Anda",Indonesian
"Selamat datang",Indonesian
"Selamat malam",Indonesian
"Selamat tidur",Indonesian
"Bagaimana kabarmu?",Indonesian
"Terima kasih",Indonesian
"Sama-sama",Indonesian
"Maaf",Indonesian
"Bisa tolong bantu saya?",Indonesian
"Tidak masalah",Indonesian
"Itu luar biasa",Indonesian
"Saya mengerti",Indonesian
"Saya tidak tahu",Indonesian
"Sampai nanti",Indonesian
"Semoga harimu bagus",Indonesian
"Jaga diri",Indonesian
"Semoga sukses",Indonesian
"Senang berkenalan",Indonesian
"Pekerjaan bagus",Indonesian
"Terima kasih banyak",Indonesian
"Sampai besok",Indonesian
"Selamat bekerja",Indonesian
"Salam",Malay
"Apa khabar?",Malay
"Selamat pagi",Malay
"Hai semua",Malay
"Saya sihat",Malay
"Jumpa nanti",Malay
"Seronok jumpa awak",Malay
"Selamat datang",Malay
"Selamat petang",Malay
"Selamat malam",Malay
"Bagaimana keadaan anda?",Malay
"Terima kasih",Malay
"Sama-sama",Malay
"Maaf",Malay
"Boleh tolong bantu saya?",Malay
"Tidak mengapa",Malay
"Hebat",Malay
"Saya faham",Malay
"Saya tidak tahu",Malay
"Selamat tinggal",Malay
"Selamat hari",Malay
"Jaga diri",Malay
"Semoga berjaya",Malay
"Gembira berjumpa anda",Malay
"Kerja bagus",Malay
"Terima kasih banyak",Malay
"Sampai esok",Malay
"Selamat bekerja",Malay
"Jambo",Swahili
"Habari gani?",Swahili
"Asubuhi njema",Swahili
"Hujambo wote",Swahili
"Niko sawa",Swahili
"Tutaonana baadaye",Swahili
"Nafurahi kukuona",Swahili
"Karibu",Swahili
"Usiku mwema",Swahili
"Lala salama",Swahili
"Habari leo?",Swahili
"Asante",Swahili
"Karibu tena",Swahili
"Samahani",Swahili
"Tafadhali nisaidie",Swahili
"Hakuna shida",Swahili
"Hiyo ni nzuri",Swahili
"Ninaelewa",Swahili
"Sijui",Swahili
"Tutaonana",Swahili
"Furahia siku yako",Swahili
"Jitunze",Swahili
"Bahati nzuri",Swahili
"Nafurahi kukutana nawe",Swahili
"Kazi nzuri",Swahili
"Asante sana",Swahili
"Kwa heri",Swahili
"سلام",Persian
"حال شما چطور است؟",Persian
"صبح بخیر",Persian
"درود بر همه",Persian
"من خوبم",Persian
"بعدا می بینمت",Persian
"خوشحالم از دیدارت",Persian
"خوش آمدی",Persian
"عصر بخیر",Persian
"شب بخیر",Persian
"چه خبر؟",Persian
"ممنون",Persian
"خواهش می‌کنم",Persian
"ببخشید",Persian
"می‌تونی کمکم کنی؟",Persian
"مشکلی نیست",Persian
"این عالی است",Persian
"می‌فهمم",Persian
"نمی‌دانم",Persian
"خداحافظ",Persian
"روز خوبی داشته باشی",Persian
"مراقب خودت باش",Persian
"موفق باشی",Persian
"خوشحالم که دیدمت",Persian
"کار عالی",Persian
"Спасибо",Czech
"Jak se máš?",Czech
"Dobré ráno",Czech
"Ahoj všichni",Czech
"Jsem v pohodě",Czech
"Uvidíme se později",Czech
"Rád tě vidím",Czech
"Vítejte",Czech
"Dobrý večer",Czech
" Dobrou noc",Czech
"Jak to jde?",Czech
"Děkuji",Czech
"Není zač",Czech
"Omlouvám se",Czech
"Můžeš mi pomoci?",Czech
"Žádný problém",Czech
"To je skvělé",Czech
"Rozumím",Czech
"Já nevím",Czech
"Ahoj",Czech
"Hezký den",Czech
"Opatruj se",Czech
"Hodně štěstí",Czech
"Rád jsem tě poznal",Czech
"Skvělá práce",Czech
"Dzięń dobry",Hungarian
"Hogy vagy?",Hungarian
"Jó reggelt",Hungarian
"Szia mindenkinek",Hungarian
"Jól vagyok",Hungarian
"Viszlát később",Hungarian
"Örülök, hogy látlak",Hungarian
"Isten hozott",Hungarian
"Jó estét",Hungarian
"Jó éjszakát",Hungarian
"Hogy megy?",Hungarian
"Köszönöm",Hungarian
"Szívesen",Hungarian
"Bocsánat",Hungarian
"Tudnál segíteni?",Hungarian
"Nincs probléma",Hungarian
"Ez nagyszerű",Hungarian
"Értem",Hungarian
"Nem tudom",Hungarian
"Viszlát",Hungarian
"Legyen szép napod",Hungarian
"Tarts magadra",Hungarian
"Sok szerencsét",Hungarian
"Örülök, hogy megismertelek",Hungarian
"Jó munka",Hungarian
"Bună ziua",Romanian
"Ce mai faci?",Romanian
"Bună dimineața",Romanian
"Bună tuturor",Romanian
"Sunt bine",Romanian
"Pe curând",Romanian
"Mă bucur să te văd",Romanian
"Bine ai venit",Romanian
"Bună seara",Romanian
"Noapte bună",Romanian
"Ce faci?",Romanian
"Mulțumesc",Romanian
"Cu plăcere",Romanian
"Scuză‑mă",Romanian
"Poți să mă ajuți?",Romanian
"Nicio problemă",Romanian
"E grozav",Romanian
"Înțeleg",Romanian
"Nu știu",Romanian
"Pa",Romanian
"O zi frumoasă",Romanian
"Ai grijă",Romanian
"Mult noroc",Romanian
"Mă bucur că ne‑am întâlnit",Romanian
"Bravo",Romanian
"Selamat",Malay
"Salam sejahtera",Malay
"Selamat pagi",Malay
"Hai semua",Malay
"Saya sihat",Malay
"Jumpa nanti",Malay
"Seronok jumpa awak",Malay
"Selamat datang",Malay
"Selamat petang",Malay
"Selamat malam",Malay
"Bagaimana keadaan anda?",Malay
"Terima kasih",Malay
"Sama‑sama",Malay
"Maaf",Malay
"Boleh tolong bantu saya?",Malay
"Tidak mengapa",Malay
"Hebat",Malay
"Saya faham",Malay
"Saya tidak tahu",Malay
"Selamat tinggal",Malay
"Selamat hari",Malay
"Jaga diri",Malay
"Semoga berjaya",Malay
"Gembira berjumpa anda",Malay
"Kerja bagus",Malay
"Terima kasih banyak",Malay
"Sampai esok",Malay
"Selamat bekerja",Malay
